year,rating
1957,4.014240506329114
1972,4.011135857461024
1952,4.0
1954,3.994219653179191
1951,3.983539094650206
1974,3.9787037037037036
1962,3.952445652173913
1950,3.9152542372881354
1977,3.905786350148368
1964,3.8414918414918415
1959,3.8410326086956523
1958,3.823170731707317
1975,3.8230769230769233
1969,3.8173758865248226
1967,3.814516129032258
1960,3.8092105263157894
1976,3.8067940552016983
1973,3.8066666666666666
1979,3.7779661016949153
1981,3.758762886597938
1953,3.7545871559633026
1955,3.7517241379310344
1971,3.7488299531981277
1968,3.7378435517970403
1966,3.7367256637168142
1980,3.708815672306322
1963,3.705965909090909
1970,3.7
1965,3.678714859437751
1961,3.6638513513513513
1983,3.6576354679802954
1984,3.6514864010120176
1982,3.638306451612903
1991,3.6282654127481715
1956,3.6176470588235294
1987,3.606014580801944
1900,3.6029602888086645
1985,3.5889978976874564
1988,3.5529899348727056
1978,3.549003322259136
2007,3.5485376477909147
1994,3.537962804982085
2010,3.537156704361874
1993,3.5366635026103466
1989,3.53434940855323
1986,3.5282645562464667
2009,3.52037845705968
2006,3.511478163493841
2008,3.498056994818653
2004,3.49149010072942
1998,3.4727544165215227
1995,3.4721175584024113
1999,3.4716924910607867
1992,3.466753585397653
2001,3.4600522951772223
2002,3.4562965360958238
1990,3.4491686460807602
2005,3.4484341252699786
2003,3.444776714513557
1996,3.426600117439812
1997,3.4157635467980296
2000,3.356103575832306
